SPBC3B9.04	155	120	141	133	83	99	183	182	129	56	127	74
SPBC3E7.02c	1282	1119	1698	1844	2032	1833	981	1202	720	629	230	316
SPBC428.17c	223	243	183	151	260	303	176	187	462	437	772	863
SPBC4F6.18c	0	0	0	0	0	0	0	0	0	0	0	0
SPBC530.03c	0	0	0	0	0	0	0	0	0	0	0	0
SPBC56F2.09c	0	0	0	0	0	0	0	0	0	0	0	0
SPBC660.14	244	137	231	233	203	210	273	252	307	217	337	336
SPBC6B1.04	0	0	0	0	0	0	0	0	0	0	0	0
SPBC725.03	1488	1145	1600	1243	964	1047	1108	1207	885	762	471	450
SPBC839.10	231	218	283	202	106	76	324	326	241	211	151	219
SPBC887.04c	2167	1934	2067	1900	1763	1750	1763	2010	2833	3289	599	546
SPBC887.12	1307	1144	1044	889	675	759	1624	1909	1288	1140	633	624
SPBC8D2.15	418	333	348	265	290	292	422	455	476	417	92	76
SPBC8D2.18c	2440	2301	2573	2032	1383	1430	3975	4101	3404	2714	737	737
SPBC8E4.04	0	0	0	0	0	0	0	0	0	0	0	0
SPBC9B6.02c	0	0	0	0	0	0	0	0	0	0	0	0
SPBC9B6.11c	2969	2838	2754	2381	2439	2316	3104	3209	2766	2672	1311	1274
SPBCPT2R1.04c	0	0	0	0	0	0	0	0	0	0	0	0
SPBP22H7.02c	0	0	0	0	0	0	0	0	0	0	0	1
SPBP23A10.09	14	28	32	46	63	51	30	30	29	58	34	38
SPBP35G2.12	0	0	0	0	0	0	0	0	0	0	0	0
SPBP4H10.07	0	0	0	0	0	0	0	0	0	0	0	0
SPBP8B7.05c	810	748	290	359	608	705	835	1176	1183	1218	535	516
SPBP8B7.14c	0	0	0	0	0	1	0	0	0	0	0	0
SPBP8B7.15c	12953	9970	8872	8097	9515	11145	1631	1792	803	1037	280	312
SPBP8B7.29	0	0	0	0	0	0	0	0	0	0	0	0
SPCC1020.11c	302	254	294	287	257	265	368	369	238	251	332	390
SPCC1183.01	367	431	221	231	392	470	70	116	29	30	34	51
SPCC1183.05c	4	1	0	0	0	1	1	1	1	1	1	1
SPCC1223.02	126	114	139	117	140	117	198	229	226	272	124	126
SPCC1235.05c	0	0	0	0	0	0	0	0	0	0	0	0
SPCC1235.07	17	69	191	168	169	125	223	297	1957	3212	11606	11467
SPCC1259.08	5	3	4	4	1	3	0	1	0	1	3	2
SPCC1322.06	24	19	33	25	34	21	30	48	43	41	4	14
SPCC1450.09c	645	616	635	662	793	809	450	452	306	316	209	247
SPCC1682.15	107	167	164	168	172	189	96	95	89	44	4	3
SPCC16A11.04	7	3	6	11	6	11	1	1	4	2	0	1
SPCC16A11.05c	0	0	0	0	0	0	0	0	0	0	0	0
SPCC16A11.14	4	1	7	2	7	8	5	4	2	2	2	1
SPCC16C4.02c	0	0	0	0	0	0	0	0	0	0	0	0
SPCC16C4.19	815	730	904	820	900	813	1047	1127	1396	1483	1242	1271
SPCC1739.13	0	0	0	0	0	0	0	0	0	0	0	0
SPCC1840.02c	6	3	4	6	6	3	5	3	4	10	1	1
SPCC188.03	0	0	0	0	0	0	0	1	0	0	0	0
SPCC188.08c	3	1	4	6	2	4	18	32	20	25	7	6
SPCC18B5.09c	2	6	2	3	4	2	7	7	3	2	0	1
SPCC191.01	703	717	775	683	543	533	1021	1034	705	616	518	487
SPCC191.11	50	53	50	48	26	28	212	202	39	44	25	29
